"file","Field_Name","Type","Presence","tidytransit_type","tidytransit_presence"
"agency.txt","agency_id","Unique ID","Conditionally Required","character","conditional"
"agency.txt","agency_name","Text","Required","character","required"
"agency.txt","agency_url","URL","Required","character","required"
"agency.txt","agency_timezone","Timezone","Required","character","required"
"agency.txt","agency_lang","Language code","Optional","character","optional"
"agency.txt","agency_phone","Phone number","Optional","character","optional"
"agency.txt","agency_fare_url","URL","Optional","character","optional"
"agency.txt","agency_email","Email","Optional","character","optional"
"stops.txt","stop_id","Unique ID","Required","character","required"
"stops.txt","stop_code","Text","Optional","character","optional"
"stops.txt","stop_name","Text","Conditionally Required","character","conditional"
"stops.txt","tts_stop_name","Text","Optional","character","optional"
"stops.txt","stop_desc","Text","Optional","character","optional"
"stops.txt","stop_lat","Latitude","Conditionally Required","numeric","conditional"
"stops.txt","stop_lon","Longitude","Conditionally Required","numeric","conditional"
"stops.txt","zone_id","ID","Optional","character","optional"
"stops.txt","stop_url","URL","Optional","character","optional"
"stops.txt","location_type","Enum","Optional","integer_character","optional"
"stops.txt","parent_station","Foreign ID referencing `stops.stop_id`","Conditionally Required","character","conditional"
"stops.txt","stop_timezone","Timezone","Optional","character","optional"
"stops.txt","wheelchair_boarding","Enum","Optional","integer_character","optional"
"stops.txt","level_id","Foreign ID referencing `levels.level_id`","Optional","character","optional"
"stops.txt","platform_code","Text","Optional","character","optional"
"routes.txt","route_id","Unique ID","Required","character","required"
"routes.txt","agency_id","Foreign ID referencing `agency.agency_id`","Conditionally Required","character","conditional"
"routes.txt","route_short_name","Text","Conditionally Required","character","conditional"
"routes.txt","route_long_name","Text","Conditionally Required","character","conditional"
"routes.txt","route_desc","Text","Optional","character","optional"
"routes.txt","route_type","Enum","Required","integer_character","required"
"routes.txt","route_url","URL","Optional","character","optional"
"routes.txt","route_color","Color","Optional","character","optional"
"routes.txt","route_text_color","Color","Optional","character","optional"
"routes.txt","route_sort_order","Non-negative integer","Optional","integer","optional"
"routes.txt","continuous_pickup","Enum","Conditionally Forbidden","integer_character","conditional"
"routes.txt","continuous_drop_off","Enum","Conditionally Forbidden","integer_character","conditional"
"routes.txt","network_id","ID","Conditionally Forbidden","character","conditional"
"trips.txt","route_id","Foreign ID referencing `routes.route_id`","Required","character","required"
"trips.txt","service_id","Foreign ID referencing `calendar.service_id` or `calendar_dates.service_id`","Required","character","required"
"trips.txt","trip_id","Unique ID","Required","character","required"
"trips.txt","trip_headsign","Text","Optional","character","optional"
"trips.txt","trip_short_name","Text","Optional","character","optional"
"trips.txt","direction_id","Enum","Optional","integer_character","optional"
"trips.txt","block_id","ID","Optional","character","optional"
"trips.txt","shape_id","Foreign ID referencing `shapes.shape_id`","Conditionally Required","character","conditional"
"trips.txt","wheelchair_accessible","Enum","Optional","integer_character","optional"
"trips.txt","bikes_allowed","Enum","Optional","integer_character","optional"
"stop_times.txt","trip_id","Foreign ID referencing `trips.trip_id`","Required","character","required"
